Rank	Bib	Athlete	NOC	Total				
2	04327	JULLIAN Banyan Noel Yu Hai	USA	8.75	2ND Prize	. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
3	02015	LEI Wang Chun	HKG	8.65	2ND Prize	. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
4	02204	VIRO Lazuardi Jana	IDN	8.55	3RD Prize	. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
5	03005	DINCU Mihai Daniel	ROU	8.55	3RD Prize	. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
6	04323	HUANG Daniel Jiang	USA	8.54	3RD Prize	. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
7	00711	Matthew Carleton WRIGHT	GBR	8.53		. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
8	02903	DERZKO Franciszek Jan	POL	8.51		. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
9	01311	MOHAMED AHMED Fathalla Taha	EGY	8.44		. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
10	02820	MENDEZ COBA Jose Fernando	MEX	8.42		. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
11	02312	YOSHIDA Yuhi	JPN	7.64		. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
1	04334	LIU Albert	USA	8.79	1ST Prize	. Men's Jiujiebian (Nine Section Whip Chain)-Group C	Wushu Taolu	Emeishan
2	04362	WONG Kaden Dan	USA	8.75	2ND Prize	. Men's Jiujiebian (Nine Section Whip Chain)-Group C	Wushu Taolu	Emeishan
3	00708	Junayde Ilhan GUVEN	GBR	8.65	3RD Prize	. Men's Jiujiebian (Nine Section Whip Chain)-Group C	Wushu Taolu	Emeishan
4	04335	LU Kelvin Yu	USA	8.58	3RD Prize	. Men's Jiujiebian (Nine Section Whip Chain)-Group C	Wushu Taolu	Emeishan
5	04301	BAI Lawren	USA	8.41		. Men's Jiujiebian (Nine Section Whip Chain)-Group C	Wushu Taolu	Emeishan
1	04330	LEW Casey Tianyu	USA	8.7	2ND Prize	. Men's Other Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
2	02024	YEUNG Cheuk Yin	HKG	8.69	3RD Prize	. Men's Other Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
3	02016	LEUNG Wai Man	HKG	8.5		. Men's Other Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
4	04325	HUANG Samuel Jiang	USA	8.48		. Men's Other Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
	00309	TEMIME Yazid	DZA	(DNS)		. Men's Other Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
	00305	BOUKHENNOUFA Yacine	DZA	(DNS)		. Men's Other Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
	04365	WU Brad Tianzhou	USA	(DNS)		. Men's Other Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
1	02901	BILUT Tomasz	POL	8.71	1ST Prize	. Men's Shuangbishou (Double Daggers)-Group D	Wushu Taolu	Emeishan
2	03316	NG Shao Chun	SGP	8.7	2ND Prize	. Men's Shuangbishou (Double Daggers)-Group D	Wushu Taolu	Emeishan
3	03014	IOANA Mihai	ROU	8.63	3RD Prize	. Men's Shuangbishou (Double Daggers)-Group D	Wushu Taolu	Emeishan
4	04308	CHOI Alexander Martin	USA	8.52	3RD Prize	. Men's Shuangbishou (Double Daggers)-Group D	Wushu Taolu	Emeishan
5	00401	DAOUDI Moubarak	BEL	8.51		. Men's Shuangbishou (Double Daggers)-Group D	Wushu Taolu	Emeishan
1	04218	ZHARUN Maksym	UKR	9.1	1ST Prize	. Men's Shuangdao (Double Broadsword)-Group D	Wushu Taolu	Emeishan
2	04209	KRYSKO Viacheslav	UKR	9.07	2ND Prize	. Men's Shuangdao (Double Broadsword)-Group D	Wushu Taolu	Emeishan
3	02003	CHEN Jinsong	HKG	9	2ND Prize	. Men's Shuangdao (Double Broadsword)-Group D	Wushu Taolu	Emeishan
4	04610	RAJPUT Rajat	IND	8.7	3RD Prize	. Men's Shuangdao (Double Broadsword)-Group D	Wushu Taolu	Emeishan
5	01520	ZEDDA Valerio	ITA	8.66	3RD Prize	. Men's Shuangdao (Double Broadsword)-Group D	Wushu Taolu	Emeishan
6	02907	KARWOWSKI Jakub	POL	8.6	3RD Prize	. Men's Shuangdao (Double Broadsword)-Group D	Wushu Taolu	Emeishan
7	01404	CALADO GUERREIRO Salvador	PRT	8.6		. Men's Shuangdao (Double Broadsword)-Group D	Wushu Taolu	Emeishan
8	02505	LEGASPI Regin Ryan Ralleca	AUS	8.56		. Men's Shuangdao (Double Broadsword)-Group D	Wushu Taolu	Emeishan
9	02916	SZPOCZEK Michał Krzysztof	POL	8.51		. Men's Shuangdao (Double Broadsword)-Group D	Wushu Taolu	Emeishan
1	00922	WANG Qianlong	CHN	8.9	1ST Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
2	01316	NASR IBRAHIM Tawﬁk Mossad Salem	EGY	8.89	1ST Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
3	00929	YANG Xu	CHN	8.87	2ND Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
4	00934	ZHANG Yuyang	CHN	8.84	2ND Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
5	01928	PAPAEFTHYMIOU Konstantinos	GRC	8.81	2ND Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
6	00608	DE OLIVEIRA MANACERO Miguel	BRA	8.8	3RD Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
7	04206	KOLISNYK Oleksii	UKR	8.79	3RD Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
8	02021	WONG Cho Wai Gabriel	HKG	8.76	3RD Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
9	04704	CHOONG Chee Wei	MYS	8.76	3RD Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
10	05003	JURAEV Abbos	TJK	8.63	3RD Prize	. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
11	00101	ARISTIDE Julien	FRA	8.6		. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
12	04350	SIGMON Kirk Allen	USA	8.55		. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
13	03010	IANA Mihail Alexandru	ROU	8.54		. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
14	02202	CHARLES Sutanto	IDN	0		. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
14	04212	OLIINYK Andrii	UKR	0		. Men's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
1	02002	CHAN Tsz Sa	HKG	8.68	1ST Prize	. Women's -posture Taijijian-Group C	Wushu Taolu	Emeishan
2	02912	PARADIUK Vanessa Weronika	POL	8.62	2ND Prize	. Women's -posture Taijijian-Group C	Wushu Taolu	Emeishan
3	01304	ELLIE SHERIF Magdy Eskander	EGY	8.58	3RD Prize	. Women's -posture Taijijian-Group C	Wushu Taolu	Emeishan
4	04803	MAQUILAN Alessandra May	PHL	8.57	3RD Prize	. Women's -posture Taijijian-Group C	Wushu Taolu	Emeishan
5	04919	MENDIS AMARASEKERA Samadhee Prathibha	LKA	8.46		. Women's -posture Taijijian-Group C	Wushu Taolu	Emeishan
6	04911	IMBULAPITIYE GEDARA Pramodya Sewmini Rathnayake	LKA	8.4		. Women's -posture Taijijian-Group C	Wushu Taolu	Emeishan
1	01502	ANNIS Beatrice	ITA	8.58	1ST Prize	. Women's Taijijian-Group C	Wushu Taolu	Emeishan
2	02404	KUZEMBAY Aiymzhan	KAZ	8.51	2ND Prize	. Women's Taijijian-Group C	Wushu Taolu	Emeishan
3	03004	BELEAN Oana Vasilica	ROU	8.49	2ND Prize	. Women's Taijijian-Group C	Wushu Taolu	Emeishan
4	02702	LEE MO LIN Estelle Shannon Lian Chu	MUS	8.46	3RD Prize	. Women's Taijijian-Group C	Wushu Taolu	Emeishan
5	04710	LABONI YONG Poi Qa	MYS	8.45	3RD Prize	. Women's Taijijian-Group C	Wushu Taolu	Emeishan
6	03024	TECI Alexandra Jasmine	ROU	8.41		. Women's Taijijian-Group C	Wushu Taolu	Emeishan
7	02701	CHONG CHAP SIN Marie Kim Lan	MUS	8.4		. Women's Taijijian-Group C	Wushu Taolu	Emeishan
8	02703	SOWARUTH Dishita	MUS	8.34		. Women's Taijijian-Group C	Wushu Taolu	Emeishan
	04106	COKHAMUR Ecrin	TUR	(DNS)		. Women's Taijijian-Group C	Wushu Taolu	Emeishan
	04205	KOLISNYK Mariia	UKR	(DNS)		. Women's Taijijian-Group C	Wushu Taolu	Emeishan
1	00917	PAN Qiaoshan	CHN	8.84	1ST Prize	. Women's -posture Taijijian-Group D	Wushu Taolu	Emeishan
2	02026	YEUNG Debbie	HKG	8.7	2ND Prize	. Women's -posture Taijijian-Group D	Wushu Taolu	Emeishan
3	03001	ANASTASIU Denisa Ruxandra	ROU	8.66	3RD Prize	. Women's -posture Taijijian-Group D	Wushu Taolu	Emeishan
4	00634	VALENTIM UEMOTO Katemann Akemi	BRA	8.62	3RD Prize	. Women's -posture Taijijian-Group D	Wushu Taolu	Emeishan
5	00626	PAVAN Beatriz Danielle	BRA	8.53		. Women's -posture Taijijian-Group D	Wushu Taolu	Emeishan
6	04904	DAUNDASEKARA MUDIYANSELAGE Sachari Lanka	LKA	8.32		. Women's -posture Taijijian-Group D	Wushu Taolu	Emeishan
1	00923	WANG Shiyu	CHN	8.77	1ST Prize	. Women's Taijijian-Group D	Wushu Taolu	Emeishan
2	02001	AU-YEUNG Pui Yue	HKG	8.7	2ND Prize	. Women's Taijijian-Group D	Wushu Taolu	Emeishan
3	05107	HUNG Si Fan	MAC	8.65	2ND Prize	. Women's Taijijian-Group D	Wushu Taolu	Emeishan
4	04204	IVANOVA Oryna	UKR	8.65	3RD Prize	. Women's Taijijian-Group D	Wushu Taolu	Emeishan
5	05114	WAI Pui Cheng	MAC	8.62	3RD Prize	. Women's Taijijian-Group D	Wushu Taolu	Emeishan
6	02908	KUBIAK Anna Maria	POL	8.56	3RD Prize	. Women's Taijijian-Group D	Wushu Taolu	Emeishan
7	02704	WONG KAM LAN Jessica Rachel	MUS	8.53		. Women's Taijijian-Group D	Wushu Taolu	Emeishan
8	01703	CHIKHLADZE Nino	GEO	8.52		. Women's Taijijian-Group D	Wushu Taolu	Emeishan
9	01803	HEIDTMANN Anna Paulina	DEU	8.5		. Women's Taijijian-Group D	Wushu Taolu	Emeishan
10	01507	FOSSA Enrica	ITA	8.46		. Women's Taijijian-Group D	Wushu Taolu	Emeishan
1	00926	YAN Ningning	CHN	8.82	1ST Prize	. Women's Taijishan-Group D	Wushu Taolu	Emeishan
2	03323	TAY Kai Xin Ranice	SGP	8.73	2ND Prize	. Women's Taijishan-Group D	Wushu Taolu	Emeishan
3	03008	GRINDEANU Sonia	ROU	8.64	2ND Prize	. Women's Taijishan-Group D	Wushu Taolu	Emeishan
4	02004	CHEUNG Ophil	HKG	8.51	3RD Prize	. Women's Taijishan-Group D	Wushu Taolu	Emeishan
5	00107	ROMERO Shaman	FRA	8.47	3RD Prize	. Women's Taijishan-Group D	Wushu Taolu	Emeishan
6	04612	SHARMA Abhigya	IND	8.41		. Women's Taijishan-Group D	Wushu Taolu	Emeishan
7	03109	NIÑO GONZALEZ Alba	ESP	8.14		. Women's Taijishan-Group D	Wushu Taolu	Emeishan
8	00503	HUANACUNI BALDIVIESO Maya Melisa	BOL	8.1		. Women's Taijishan-Group D	Wushu Taolu	Emeishan
1	03315	NG Chiew Yen	SGP	8.7	1ST Prize	. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
2	01705	GABESKIRIA Maka	GEO	8.61	2ND Prize	. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
3	03904	NESHCHERET Natalia	KGZ	8.55	2ND Prize	. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
4	00109	TRAN CONG Francine	FRA	8.54	3RD Prize	. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
5	03702	ZHU-HIPTMAIR Guirong	CHE	8.53	3RD Prize	. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
6	02417	ZHIGALKINA Tatyana	KAZ	8.52	3RD Prize	. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
7	04367	YANG Lili	USA	8.5		. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
8	04345	ROVIRA-ALVAREZ Nelly Esther	USA	8.49		. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
9	03405	KLEJCHOVÁ Michaela	SVK	8.44		. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
10	02311	UEDA Mikiko	JPN	8.43		. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
	00614	GUEDES Marta Denise	BRA	(DNS)		. Women's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
1	04705	JASLYN TAN Yu Ching	MYS	8.59	1ST Prize	. Women's Other Taiji Weapon Routines-Group C/E	Wushu Taolu	Emeishan
2	00902	CHAO Haiya	CHN	8.58	2ND Prize	. Women's Other Taiji Weapon Routines-Group C/E	Wushu Taolu	Emeishan
3	01210	1STANKOVA Marketa	CZE	8.57	3RD Prize	. Women's Other Taiji Weapon Routines-Group C/E	Wushu Taolu	Emeishan
4	00104	POINT Flora	FRA	8.55	3RD Prize	. Women's Other Taiji Weapon Routines-Group C/E	Wushu Taolu	Emeishan
5	04410	PHAM Thi Huong	VNM	8.54		. Women's Other Taiji Weapon Routines-Group C/E	Wushu Taolu	Emeishan
6	01415	RODRIGUES CHARNECO Mariana	PRT	8.5		. Women's Other Taiji Weapon Routines-Group C/E	Wushu Taolu	Emeishan
7	00508	PINEDO SORUCO Cecilia Esperanza	BOL	8.47		. Women's Other Taiji Weapon Routines-Group C/E	Wushu Taolu	Emeishan
1	05105	CHEONG Lao Leng	MAC	8.6	1ST Prize	. Women's Other Taijijian Routines-Group F	Wushu Taolu	Emeishan
2	03905	PAK Tatiana	KGZ	8.58	2ND Prize	. Women's Other Taijijian Routines-Group F	Wushu Taolu	Emeishan
3	01809	YE Kanglian	DEU	8.56	3RD Prize	. Women's Other Taijijian Routines-Group F	Wushu Taolu	Emeishan
4	02303	HAYASHI Kyoko	JPN	8.54	3RD Prize	. Women's Other Taijijian Routines-Group F	Wushu Taolu	Emeishan
5	04402	DINH Thi Thuy Lan	VNM	8.51		. Women's Other Taijijian Routines-Group F	Wushu Taolu	Emeishan
6	02511	ZASLAWSKI Louise Edna Anne	AUS	8.45		. Women's Other Taijijian Routines-Group F	Wushu Taolu	Emeishan
7	03514	MC CARDLE Candace Jane	ZAF	8.43		. Women's Other Taijijian Routines-Group F	Wushu Taolu	Emeishan
	05101	CHAN I Lo	MAC	(DNS)		. Women's Other Taijijian Routines-Group F	Wushu Taolu	Emeishan
1	00903	CHEN Yu	CHN	8.98	1ST Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
2	00933	ZHANG Xue	CHN	8.88	1ST Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
3	00916	LI Na	CHN	8.7	2ND Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
4	03312	LOW Qiu Min Elicia	SGP	8.61	2ND Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
5	03318	TAN Shi Xuan Esther	SGP	8.6	2ND Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
6	03321	TAN Wei Qing Regina	SGP	8.59	3RD Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
7	02809	DE LA ROSA LIRA Grace Guadalupe	MEX	8.54	3RD Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
8	00623	NASCIMENTO CELESTINO GUERREIRO Suelen Cristina	BRA	8.53	3RD Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
9	03020	OBEANU Mara Georgia Alina	ROU	8.52	3RD Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
10	02801	ACOSTA ORTEGA Yuliana Sarahi	MEX	8.47	3RD Prize	. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
11	03511	JACOBS Shannon Stephanie	ZAF	8.45		. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
12	02201	ALEXANDRA Dwi Putri	IDN	8.44		. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
13	04319	GORDON Ayla Nunnehi	USA	8.42		. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
14	02915	SKORUPA Agnieszka Barbara	POL	8.41		. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
15	02815	LIRA ACOSTA Andrea Sulim	MEX	8.3		. Women's Other Double-Weapon Routines-Group D	Wushu Taolu	Emeishan
1	00938	Chong Yaru	CHN	8.96	1ST Prize	. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
2	04208	KRYSKO Alina	UKR	8.79	2ND Prize	. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
3	04502	CHIRILIUC Anastasia	ISR	8.73	2ND Prize	. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
4	04508	MOVSHOVICH Shelly	ISR	8.7	3RD Prize	. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
5	00110	YANG Josepha	FRA	8.65	3RD Prize	. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
6	02028	YIM Wing Tung	HKG	8.65	3RD Prize	. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
7	01802	DISARO Chantal	DEU	8.59		. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
8	03901	KOKUMBEK KYZY Eles	KGZ	8.54		. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
9	02818	MEDRANO MENDOZA Yessenia Arizbeth	MEX	8.53		. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
10	03406	ONDROVIČOVÁ Lenka	SVK	8.51		. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
11	04005	HEMLI Sirine	TUN	8.4		. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
	04102	AKYUZ Elif	TUR	(DNS)		. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
	04216	YAZYKOVA Maryna	UKR	(DNS)		. Women's Shuangjian -Group D	Wushu Taolu	Emeishan
1	01411	MATOS COSTA Mafalda	PRT	8.58	1ST Prize	. Women's Jian (Straight Sword)-Group E	Wushu Taolu	Emeishan
2	02104	ARUTYUNJAN Maria	HUN	8.49	2ND Prize	. Women's Jian (Straight Sword)-Group E	Wushu Taolu	Emeishan
3	04318	GAO Lin	USA	8.42	3RD Prize	. Women's Jian (Straight Sword)-Group E	Wushu Taolu	Emeishan
4	01911	KONSTANTINOU Maria	GRC	8.4	3RD Prize	. Women's Jian (Straight Sword)-Group E	Wushu Taolu	Emeishan
5	00924	WANG Zhong	CHN	8.31		. Women's Jian (Straight Sword)-Group E	Wushu Taolu	Emeishan
1	00915	LI Jinsong	CHN	8.72	1ST Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
2	01515	SIRTO Elisabetta	ITA	8.7	1ST Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
3	04408	NGUYEN Thi Thao Nguyen	VNM	8.66	2ND Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
4	00601	ALENCAR RIBEIRO Regina Helena	BRA	8.58	2ND Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
5	03404	HATALOVÁ Hanka	SVK	8.56	2ND Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
6	01403	BENCINI CRUZ Silvia	PRT	8.55	3RD Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
7	03909	TASHMATOVA Aisalkyn	KGZ	8.54	3RD Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
8	04608	PODAKANTI Pavithra Chary	IND	8.53	3RD Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
9	00623	NASCIMENTO CELESTINO GUERREIRO Suelen Cristina	BRA	8.52	3RD Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
10	03510	JACOBS Bianca Candice	ZAF	8.52	3RD Prize	. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
11	01910	KOKOLESI Elena	GRC	8.51		. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
12	02822	PANECATL URQUIZA Karen Priscila	MEX	8.5		. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
13	03015	MICU Lorena Eliana	ROU	8.48		. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
14	03506	DU PLESSIS Nerine	ZAF	8.45		. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
15	01940	VATZAKA Maria Eleni	GRC	8.44		. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
16	05116	ZHU Ieng Ieng	MAC	8.26		. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
	03307	KEN Rui Xin	SGP	(DNS)		. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
	01803	HEIDTMANN Anna Paulina	DEU	(DNS)		. Women's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
1	00909	HAN Junxia	CHN	8.79	1ST Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
2	00603	AMIDANI SOARES DE AZEVEDO Paula	BRA	8.59	1ST Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
3	01909	KOKKINAKI Anna	GRC	8.57	1ST Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
4	05106	HO Lai Sim	MAC	8.56	2ND Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
5	02507	MAK Angela Jia Li	AUS	8.55	2ND Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
6	00629	ROMANO CARDOSO SILVESTRE Nina	BRA	8.5	2ND Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
7	03504	CHRYSOSTOMOU Daniela	ZAF	8.49	3RD Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
8	00712	Michele Maki NAKASONE	GBR	8.47	3RD Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
9	02504	KHOO Cheng Choo	AUS	8.45	3RD Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
10	03908	SERIAKOVA Liubov	KGZ	8.44	3RD Prize	. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
11	03906	PAVLENKO Elena	KGZ	8.42		. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
12	02503	HERMANS Rosemary	AUS	8.39		. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
13	04344	ROVIRA-ALVAREZ Carmen Margarita	USA	8.36		. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
	00109	TRAN CONG Francine	FRA	(DNS)		. Women's Other Single-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
1	00906	DAI Weilong	CHN	8.87	2ND Prize	. Women's Other Soft-Weapon Routines-Group D/E	Wushu Taolu	Emeishan
2	02027	YEUNG Michelle	HKG	8.72	3RD Prize	. Women's Other Soft-Weapon Routines-Group D/E	Wushu Taolu	Emeishan
3	02604	KAZAKOVA Elena	LVA	8.44		. Women's Other Soft-Weapon Routines-Group D/E	Wushu Taolu	Emeishan
	00310	TEMIME Kahina	DZA	(DNS)		. Women's Other Soft-Weapon Routines-Group D/E	Wushu Taolu	Emeishan
	00307	MOHAND SAIDI Katia	DZA	(DNS)		. Women's Other Soft-Weapon Routines-Group D/E	Wushu Taolu	Emeishan
1	02906	ENGEL Beata	POL	8.55	1ST Prize	. Women's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
2	01413	RAMOS CANDEIAS Irene Regina	PRT	8.54	2ND Prize	. Women's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
3	01408	DE SALES SOARES DE MELO Cristina	PRT	8.52	3RD Prize	. Women's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
4	01927	PAPADOPOULOU Elisavet	GRC	8.5	3RD Prize	. Women's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
5	03104	GALLARDO PAJUELO Ana	ESP	8.48		. Women's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
6	00106	ROMERO Sabine	FRA	8.45		. Women's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
1	04411	PHAN Van Anh Hao	VNM	8.61	2ND Prize	. Men's Jiujiebian (Nine Section Whip Chain)-Group D	Wushu Taolu	Emeishan
2	03601	ANDERSSON Ted Fredrik	SWE	8.58	3RD Prize	. Men's Jiujiebian (Nine Section Whip Chain)-Group D	Wushu Taolu	Emeishan
3	04606	JANGID Nakshatra	IND	8.53		. Men's Jiujiebian (Nine Section Whip Chain)-Group D	Wushu Taolu	Emeishan
	03021	RADULESCU Dan Mihai	ROU	(DNS)		. Men's Jiujiebian (Nine Section Whip Chain)-Group D	Wushu Taolu	Emeishan
	02011	KWOK Kwan Ho	HKG	(DNS)		. Men's Jiujiebian (Nine Section Whip Chain)-Group D	Wushu Taolu	Emeishan
1	00918	SHI Xiaolong	CHN	9.01	1ST Prize	. Men's Pudao-Group D	Wushu Taolu	Emeishan
2	04214	REVA Roman	UKR	8.85	2ND Prize	. Men's Pudao-Group D	Wushu Taolu	Emeishan
3	03102	COLLADO SAIZ Francisco	ESP	8.73	2ND Prize	. Men's Pudao-Group D	Wushu Taolu	Emeishan
4	02816	LIRA ACOSTA Jesus Alfredo	MEX	8.7	3RD Prize	. Men's Pudao-Group D	Wushu Taolu	Emeishan
5	04709	KOW Zer Xuan	MYS	8.65	3RD Prize	. Men's Pudao-Group D	Wushu Taolu	Emeishan
6	02813	GONZALEZ MARMOLEJO Luis Arturo	MEX	8.64	3RD Prize	. Men's Pudao-Group D	Wushu Taolu	Emeishan
7	01414	RESENDE DE SOUSA Bruno Miguel	PRT	8.58		. Men's Pudao-Group D	Wushu Taolu	Emeishan
8	00704	Connor James BLACK	GBR	8.5		. Men's Pudao-Group D	Wushu Taolu	Emeishan
9	04103	AKYUZ NecmettİN Erbakan	TUR	7.8		. Men's Pudao-Group D	Wushu Taolu	Emeishan
	01807	KROETZ Benjamin Fritz Ludwig	DEU	(DNS)		. Men's Pudao-Group D	Wushu Taolu	Emeishan
1	00921	WANG Dian	CHN	8.92	1ST Prize	. Men's Qiang (Spear)-Group D	Wushu Taolu	Emeishan
2	04401	DAO Vi Dat	VNM	8.61	2ND Prize	. Men's Qiang (Spear)-Group D	Wushu Taolu	Emeishan
3	01402	AZEVEDO Miguel Angelo	PRT	8.6	3RD Prize	. Men's Qiang (Spear)-Group D	Wushu Taolu	Emeishan
4	03401	BARTOŠ Filip	SVK	8.59	3RD Prize	. Men's Qiang (Spear)-Group D	Wushu Taolu	Emeishan
